refid,Reference,Author,Title,Abstract,Reason,Labels,Response Sets,Attachments
1563,"Evered, L., Silbert, B., Knopman, D. S., Scott, D. A., DeKosky, S. T., Rasmussen, L. S., Oh, E. S., Crosby, G., Berger, M., Eckenhoff, R. G..  Recommendations for the nomenclature of cognitive change associated with anaesthesia and surgery-2018. Can J Anaesth.  2018. 65:1248-1257","Evered, L., Silbert, B., Knopman, D. S., Scott, D. A., DeKosky, S. T., Rasmussen, L. S., Oh, E. S., Crosby, G., Berger, M., Eckenhoff, R. G.",Recommendations for the nomenclature of cognitive change associated with anaesthesia and surgery-2018,"Cognitive change affecting patients after anaesthesia and surgery has been recognised for more than 100 yr. Research into cognitive change after anaesthesia and surgery accelerated in the 1980s when multiple studies utilised detailed neuropsychological testing for assessment of cognitive change after cardiac surgery. This body of work consistently documented decline in cognitive function in elderly patients after anaesthesia and surgery, and cognitive changes have been identified up to 7.5 yr afterwards. Importantly, other studies have identified that the incidence of cognitive change is similar after non-cardiac surgery. Other than the inclusion of non-surgical control groups to calculate postoperative cognitive dysfunction, research into these cognitive changes in the perioperative period has been undertaken in isolation from cognitive studies in the general population. The aim of this work is to develop similar terminology to that used in cognitive classifications of the general population for use in investigations of cognitive changes after anaesthesia and surgery. A multispecialty working group followed a modified Delphi procedure with no prespecified number of rounds comprised of three face-to-face meetings followed by online editing of draft versions.Two major classification guidelines [Diagnostic and Statistical Manual for Mental Disorders, fifth edition (DSM-5) and National Institute for Aging and the Alzheimer Association (NIA-AA)] are used outside of anaesthesia and surgery, and may be useful for inclusion of biomarkers in research. For clinical purposes, it is recommended to use the DSM-5 nomenclature. The working group recommends that 'perioperative neurocognitive disorders' be used as an overarching term for cognitive impairment identified in the preoperative or postoperative period. This includes cognitive decline diagnosed before operation (described as neurocognitive disorder); any form of acute event (postoperative delirium) and cognitive decline diagnosed up to 30 days after the procedure (delayed neurocognitive recovery) and up to 12 months (postoperative neurocognitive disorder).",duplicate of 906,,,
1690,"Evered, L., Silbert, B., Knopman, D. S., Scott, D. A., DeKosky, S. T., Rasmussen, L. S., Oh, E. S., Crosby, G., Berger, M., Eckenhoff, R. G..  Recommendations for the Nomenclature of Cognitive Change Associated with Anaesthesia and Surgery-2018. Anesthesiology.  2018. 129:872-879","Evered, L., Silbert, B., Knopman, D. S., Scott, D. A., DeKosky, S. T., Rasmussen, L. S., Oh, E. S., Crosby, G., Berger, M., Eckenhoff, R. G.",Recommendations for the Nomenclature of Cognitive Change Associated with Anaesthesia and Surgery-2018,"Cognitive change affecting patients after anaesthesia and surgery has been recognised for more than 100 yr. Research into cognitive change after anaesthesia and surgery accelerated in the 1980s when multiple studies utilised detailed neuropsychological testing for assessment of cognitive change after cardiac surgery. This body of work consistently documented decline in cognitive function in elderly patients after anaesthesia and surgery, and cognitive changes have been identified up to 7.5 yr afterwards. Importantly, other studies have identified that the incidence of cognitive change is similar after non-cardiac surgery. Other than the inclusion of non-surgical control groups to calculate postoperative cognitive dysfunction, research into these cognitive changes in the perioperative period has been undertaken in isolation from cognitive studies in the general population. The aim of this work is to develop similar terminology to that used in cognitive classifications of the general population for use in investigations of cognitive changes after anaesthesia and surgery. A multispecialty working group followed a modified Delphi procedure with no prespecified number of rounds comprised of three face-to-face meetings followed by online editing of draft versions.Two major classification guidelines (Diagnostic and Statistical Manual for Mental Disorders, fifth edition [DSM-5] and National Institute for Aging and the Alzheimer Association [NIA-AA]) are used outside of anaesthesia and surgery, and may be useful for inclusion of biomarkers in research. For clinical purposes, it is recommended to use the DSM-5 nomenclature. The working group recommends that 'perioperative neurocognitive disorders' be used as an overarching term for cognitive impairment identified in the preoperative or postoperative period. This includes cognitive decline diagnosed before operation (described as neurocognitive disorder); any form of acute event (postoperative delirium) and cognitive decline diagnosed up to 30 days after the procedure (delayed neurocognitive recovery) and up to 12 months (postoperative neurocognitive disorder).",duplicate of 906,,,
1731,"Evered, L., Silbert, B., Knopman, D. S., Scott, D. A., DeKosky, S. T., Rasmussen, L. S., Oh, E. S., Crosby, G., Berger, M., Eckenhoff, R. G..  Recommendations for the nomenclature of cognitive change associated with anaesthesia and surgery-2018. Br J Anaesth.  2018. 121:1005-1012","Evered, L., Silbert, B., Knopman, D. S., Scott, D. A., DeKosky, S. T., Rasmussen, L. S., Oh, E. S., Crosby, G., Berger, M., Eckenhoff, R. G.",Recommendations for the nomenclature of cognitive change associated with anaesthesia and surgery-2018,"Cognitive change affecting patients after anaesthesia and surgery has been recognised for more than 100 yr. Research into cognitive change after anaesthesia and surgery accelerated in the 1980s when multiple studies utilised detailed neuropsychological testing for assessment of cognitive change after cardiac surgery. This body of work consistently documented decline in cognitive function in elderly patients after anaesthesia and surgery, and cognitive changes have been identified up to 7.5 yr afterwards. Importantly, other studies have identified that the incidence of cognitive change is similar after non-cardiac surgery. Other than the inclusion of non-surgical control groups to calculate postoperative cognitive dysfunction, research into these cognitive changes in the perioperative period has been undertaken in isolation from cognitive studies in the general population. The aim of this work is to develop similar terminology to that used in cognitive classifications of the general population for use in investigations of cognitive changes after anaesthesia and surgery. A multispecialty working group followed a modified Delphi procedure with no prespecified number of rounds comprised of three face-to-face meetings followed by online editing of draft versions. Two major classification guidelines [Diagnostic and Statistical Manual for Mental Disorders, fifth edition (DSM-5) and National Institute for Aging and the Alzheimer Association (NIA-AA)] are used outside of anaesthesia and surgery, and may be useful for inclusion of biomarkers in research. For clinical purposes, it is recommended to use the DSM-5 nomenclature. The working group recommends that 'perioperative neurocognitive disorders' be used as an overarching term for cognitive impairment identified in the preoperative or postoperative period. This includes cognitive decline diagnosed before operation (described as neurocognitive disorder); any form of acute event (postoperative delirium) and cognitive decline diagnosed up to 30 days after the procedure (delayed neurocognitive recovery) and up to 12 months (postoperative neurocognitive disorder).",duplicate of 906,,,
1788,"Iannuzzi, M., Iannuzzi, E., Rossi, F., Berrino, L., Chiefari, M..  Relationship between bispectral index, electroencephalographic state entropy and effect-site EC50 for propofol at different clinical endpoints. Br J Anaesth.  2005. 94:613-6","Iannuzzi, M., Iannuzzi, E., Rossi, F., Berrino, L., Chiefari, M.","Relationship between bispectral index, electroencephalographic state entropy and effect-site EC50 for propofol at different clinical endpoints","BACKGROUND: State entropy (SE) is a newly available monitor for depth of anaesthesia. We investigated whether the relationship between predicted effect-site propofol concentration and both bispectral index (BIS) and SE values is useful for predicting loss of verbal contact and loss of consciousness during steady-state conditions. METHODS: Twenty unpremedicated patients undergoing elective major abdominal surgery were recruited. A target-controlled infusion of propofol was administered using Schneider's pharmacokinetic model. The propofol infusion was set at an initial site-effect concentration of 1.0 microg ml(-1), and increased by 1.0 microg ml(-1) steps every 4 min, up to 6.0 microg ml(-1). A 4-min interval was chosen to ensure that steady-state site-effect concentrations were obtained. Propofol site-effect concentrations and BIS and SE values were recorded at loss of verbal contact (LVC) and loss of consciousness (LOC). Population values for predicted effect-site concentrations at the clinical endpoints were estimated and correlated with BIS and SE values. RESULTS: For LVC, the effect-site concentration for 90% of patients was 1.1 (1.1-3.2) microg ml(-1) and for LOC 2.8 (2.8-5.65) microg ml(-1). LVC occurred in 90% of patients at a BIS value of 70.2 (70.2-90.2) and an SE value of 60.3 (60.3-75.5) and LOC occurred at a BIS value of 38.2 (38.2-70.4) and an SE value of 42.2 (42.2-60.4). CONCLUSIONS: LVC and LOC occurred within a defined range of predicted effect-site concentrations. SE had a smaller range than BIS and higher correlation with effect-site concentration and may be more useful than BIS in predicting both LVC and LOC.",duplicate of 1781,,,
2300,"Evered, L., Silbert, B., Knopman, D. S., Scott, D. A., DeKosky, S. T., Rasmussen, L. S., Oh, E. S., Crosby, G., Berger, M., Eckenhoff, R. G..  Recommendations for the Nomenclature of Cognitive Change Associated With Anaesthesia and Surgery-2018. Anesth Analg.  2018. 127:1189-1195","Evered, L., Silbert, B., Knopman, D. S., Scott, D. A., DeKosky, S. T., Rasmussen, L. S., Oh, E. S., Crosby, G., Berger, M., Eckenhoff, R. G.",Recommendations for the Nomenclature of Cognitive Change Associated With Anaesthesia and Surgery-2018,"Cognitive change affecting patients after anaesthesia and surgery has been recognised for more than 100 yr. Research into cognitive change after anaesthesia and surgery accelerated in the 1980s when multiple studies utilised detailed neuropsychological testing for assessment of cognitive change after cardiac surgery. This body of work consistently documented decline in cognitive function in elderly patients after anaesthesia and surgery, and cognitive changes have been identified up to 7.5 yr afterwards. Importantly, other studies have identified that the incidence of cognitive change is similar after non-cardiac surgery. Other than the inclusion of non-surgical control groups to calculate postoperative cognitive dysfunction, research into these cognitive changes in the perioperative period has been undertaken in isolation from cognitive studies in the general population. The aim of this work is to develop similar terminology to that used in cognitive classifications of the general population for use in investigations of cognitive changes after anaesthesia and surgery. A multispecialty working group followed a modified Delphi procedure with no prespecified number of rounds comprised of three face-to-face meetings followed by online editing of draft versions.Two major classification guidelines [Diagnostic and Statistical Manual for Mental Disorders, fifth edition (DSM-5) and National Institute for Aging and the Alzheimer Association (NIA-AA)] are used outside of anaesthesia and surgery, and may be useful for inclusion of biomarkers in research. For clinical purposes, it is recommended to use the DSM-5 nomenclature. The working group recommends that 'perioperative neurocognitive disorders' be used as an overarching term for cognitive impairment identified in the preoperative or postoperative period. This includes cognitive decline diagnosed before operation (described as neurocognitive disorder); any form of acute event (postoperative delirium) and cognitive decline diagnosed up to 30 days after the procedure (delayed neurocognitive recovery) and up to 12 months (postoperative neurocognitive disorder).",duplicate of 906,,,
6182,"Arias, F., Wiggins, M., Urman, R. D., Armstrong, R., Pfeifer, K., Bader, A. M., Libon, D. J., Chopra, A., Price, C. C..  Rapid In-Person Cognitive Screening in the Preoperative Setting: Test Considerations and Recommendations from the Society for Perioperative Assessment and Quality Improvement (SPAQI). Perioper Care Oper Room Manag.  2020. 19:#pages#","Arias, F., Wiggins, M., Urman, R. D., Armstrong, R., Pfeifer, K., Bader, A. M., Libon, D. J., Chopra, A., Price, C. C.",Rapid In-Person Cognitive Screening in the Preoperative Setting: Test Considerations and Recommendations from the Society for Perioperative Assessment and Quality Improvement (SPAQI),"There are few cognitive screening tools appropriate for fast-paced settings with limited staffing, and particularly in preoperative evaluation clinics. The Society for Perioperative Assessment and Quality Improvement (SPAQI) convened experts in neuropsychology, geriatric medicine, and anesthesiology to conduct a review of the literature and compile a comprehensive list of cognitive screening tools used within primary care and preoperative settings. This Recommendations Statement: 1. summarizes a review of the literature on existing cognitive screening tools used within preoperative settings; 2. discusses factors to consider when selecting cognitive screening tools in a preoperative environment; and 3. includes a work flow diagram to guide use of these screening measures. Methodology involved searching peer-reviewed literature for 29 cognitive screening tools which were identified from the literature that fit inclusion criteria. Of these 29, seven tests have been used in preoperative settings and are discussed. These seven had an average administration time ranging from one to ten minutes. Memory, language, and attention were the most commonly evaluated cognitive domains. Most had adequate sensitivity and specificity to detect cognitive impairment/dementia. While information on the psychometric properties of these tools is limited, the tools discussed are appropriate for lay examiners, are short in duration, and accessible for free or at a low cost. We describe factors that must be considered prior to instrument selection.",duplicate of 3933,,,
6735,"Sun, M., Peng, T., Sun, Y., Huang, Z., Jiang, J., Wang, C., Li, Y., Zhang, Y., Kong, W., Fan, L., Sun, X., Zhao, X..  Intraoperative use of low-dose dexmedetomidine for the prevention of emergence agitation following general anaesthesia in elderly patients: a randomized controlled trial. Aging Clin Exp Res.  2022. 34:611-618","Sun, M., Peng, T., Sun, Y., Huang, Z., Jiang, J., Wang, C., Li, Y., Zhang, Y., Kong, W., Fan, L., Sun, X., Zhao, X.",Intraoperative use of low-dose dexmedetomidine for the prevention of emergence agitation following general anaesthesia in elderly patients: a randomized controlled trial,"OBJECTIVE: To clarify the effect of an intraoperative low-dose dexmedetomidine infusion on emergence agitation following general anaesthesia in elderly patients. METHODS: Eighty elderly patients (> 64-years-old) following elective general anaesthesia for radical cancer surgeries were randomly allocated into two groups (n = 40 each): the dexmedetomidine group (Group D) and the normal saline group (Group C). Anaesthesia was maintained with continuous intravenous infusion of dexmedetomidine at - 0.2 microg kg(-1) h(-1) in Group D, and an equal volume of normal saline (0.5 ml kg(-1) h(-1)) was given in Group C. All patients were observed for 30 min in the post-anaesthesia care unit (PACU), AFPS and NRS were recorded every 2 min, and the total doses of nalbuphine and fentanyl were calculated in the PACU. MAP and HR were recorded at the time of 10 min (T1), 20 min (T2), 30 min (T3) after dexmedetomidine or saline pumping, and before extubation (T4), immediately after extubation (T5), and 5 min after extubation (T6). We also documented some durations, including anaesthesia duration (D1), surgery duration (D2), duration from the end of surgery to extubation (D3), and emergence agitation duration (D4). RESULTS: The MAP in Group C was significantly higher than that in Group D (P < 0.05), and there were no significant changes between the two groups in HR and MAP within each time point and D1, D2, D3, and D4. The incidence of agitation, NRS score and total dose of nalbuphine and fentanyl were all lower in Group D than in Group C (P < 0.05). CONCLUSION: An intraoperative low-dose dexmedetomidine continuous infusion can reduce emergence agitation following general anaesthesia in elderly patients (> 64-years-old), remain stable in terms of haemodynamics, and not lead to delays in anaesthesia recovery time and extubation time.",only outcome reported is emergence agitation,,"Level 1, Title abstract screening; Level 2, Full text screening ; Level 3, Outcomes - Dichotomous; Level 3, Outcomes - Likert; Level 3, Study Arm; Level 3, Study Characteristics; Level 4, Automated RoB 2 (Cochrane) - Parallel",Sun2022AgingClinExpRes.pdf
10426,"Pledger, C. L., Elzoghby, M. A., Oldfield, E. H., Payne, S. C., Jane, J. A., Jr..  Prospective comparison of sinonasal outcomes after microscopic sublabial or endoscopic endonasal transsphenoidal surgery for nonfunctioning pituitary adenomas. J Neurosurg.  2016. 125:323-33","Pledger, C. L., Elzoghby, M. A., Oldfield, E. H., Payne, S. C., Jane, J. A., Jr.",Prospective comparison of sinonasal outcomes after microscopic sublabial or endoscopic endonasal transsphenoidal surgery for nonfunctioning pituitary adenomas,"OBJECT Both endoscopic and microscopic transsphenoidal approaches are accepted techniques for the resection of pituitary adenomas. Although studies have explored patient outcomes for each technique individually, none have prospectively compared sinonasal and quality of life outcomes in a concurrent series of patients at the same institution, as has been done in the present study. METHODS Patients with nonfunctioning adenomas undergoing transsphenoidal surgery were assessed for sinonasal function, quality of life, and pain using the Sino-Nasal Outcome Test-20 (SNOT-20), the short form of the Nasal Obstruction Symptom Evaluation (NOSE) instrument, the SF-36, and a headache scale. Eighty-two patients undergoing either endoscopic (47 patients) or microscopic (35 patients) surgery were surveyed preoperatively and at 24-48 hours, 2 weeks, 4 weeks, 8 weeks, and 1 year after surgery. RESULTS Patients who underwent endoscopic and microscopic transsphenoidal surgery experienced a similar recovery pattern, showing an initial increase in symptoms during the first 2 weeks, followed by a return to baseline by 4 weeks and improvement beyond baseline functioning by 8 weeks. Patients who underwent endoscopic surgery experienced better sinonasal outcomes at 24-48 hours (SNOT total p = 0.015, SNOT rhinologic subscale [ssRhino] p < 0.001), 2 weeks (NOSE p = 0.013), and 8 weeks (SNOT total p = 0.032 and SNOT ssRhino p = 0.035). By 1 year after surgery, no significant differences in sinonasal outcomes were observed between the 2 groups. Headache scales at 1 year improved in all dimensions except duration for both groups (total result 73%, p = 0.004; severity 46%, p < 0.001; frequency 53%, p < 0.001), with 80% of either microscopic or endoscopic patients experiencing improvement or resolution of headache symptoms. Endoscopic and microscopic patients experienced reduced vitality preoperatively compared with US population norms and remained low postoperatively. By 8 weeks after surgery, both groups experienced significant improvements in mental health (13%, p = 0.005) and vitality (15%, p = 0.037). By 1 year after surgery, patients improved significantly in mental health (14%, p = 0.03), role physical (14%, p = 0.036), social functioning (16%, p = 0.009), vitality (22%, p = 0.002), and SF-36 total (10%, p = 0.024) as compared with preoperative measures. There were no significant differences at any time point between the 2 groups for the total SF-36 or for any of the 8 subscales. CONCLUSIONS Patients who underwent either an endoscopic or a microscopic approach experienced the greatest nasal symptoms at 2 weeks postoperatively and exhibited similar time courses of recovery in nasal, headache, and quality of life assessments. Although patients who underwent endoscopic surgery experienced significantly fewer nasal symptoms during the first 8 weeks, by 1 year after surgery, there were no significant differences between the 2 groups.",Duplicate of 14006,,"Level 1, Title abstract screening",
13117,"Li, Z., Yao, S., Cheng, M., Chen, J..  Evaluation of the Effect of Dexmedetomidine on Postoperative Cognitive Dysfunction through Aβ and Cytokines Analysis. Iranian Journal of Pharmaceutical Research.  2021. 20:515-522","Li, Z., Yao, S., Cheng, M., Chen, J.",Evaluation of the Effect of Dexmedetomidine on Postoperative Cognitive Dysfunction through Aβ and Cytokines Analysis,"Postoperative cognitive dysfunction is a common postoperative neurological complication in elderly patients, and has some relationship with neuroinflammation. some studies have shown ability of dexmedetomidine to improve cognitive performance in elderly individuals who underwent thoracic surgery. Therefore, our study hypothesized that dexmedetomidine treatment may reduce the incidence of POCD in elderly patients.In addition,this study detected the antineuroinflammatory effects of dexmedetomidine by β-amyloid aggregation inhibitors and release of cytokines in elderly patients. The results show that dexmedetomidine used during operation can inhibit the postoperative release of Aβ and cytokines in elderly patients, and dexmedetomidine used during operation can reduce the incidence of postoperative cognitive dysfunction, with dose-dependence. These results provide a clinical application direction for clinical anesthesiologists and ICU physicians.",duplicate of 4914,,,
13135,"Ristescu, A. I., Pintilie, G., Moscalu, M., Rusu, D., Grigoras, I..  Preoperative cognitive impairment and the prevalence of postoperative delirium in elderly cancer patients—a prospective observational study. Diagnostics.  2021. 11:#pages#","Ristescu, A. I., Pintilie, G., Moscalu, M., Rusu, D., Grigoras, I.",Preoperative cognitive impairment and the prevalence of postoperative delirium in elderly cancer patients—a prospective observational study,"Preoperative cognitive impairment (PCI) in cancer patients includes a broad spectrum of neurocognitive changes produced by complex interplay of patient, tumoural and treatment-related factors. Reduced preoperative cognitive reserve can favour the emergence of postoperative delirium (POD). The study aims to document PCI prevalence and to assess the relationship with POD in elderly cancer patients. The prospective observational study included consecutive patients scheduled for elective surgery; PCI was assessed with Mini-Cog test and defined at a score ≤ 3, POD was screened using Nursing Delirium Screening Scale (Nu-DESC) and defined at a score ≥ 2. Data on education, American Society of Anesthesiologists (ASA) score, preoperative medications, substance use, comorbidities, sensorial deficits, surgery and anaesthesia type, anaesthetic drugs, Mini-Cog score, postoperative pain, Nu-DESC were collected. In total, 131 patients were enrolled, mean age 72.1 ± 5.9 years. PCI prevalence was 51.9% (n = 68). POD prevalence was 19.8% (n = 26), with significantly higher value in PCI patients (27.9% vs. 11.1%, p = 0.016). In multivariate analysis, Mini-Cog score ≤ 3 (OR = 2.6, p = 0.027), clock draw (OR: 2.9, p = 0.013), preoperative renal dysfunction (OR = 2.6, p = 0.012), morphine (OR = 2.7, p = 0.007), metoclopramide (OR = 6.6, p = 0.006), and high pain score (OR = 1.8, p = 0.018) had a significant association with POD development. In this sample of elderly patients, PCI had a high prevalence and predicted the emergence of POD. Incorporating Mini-Cog test into the preoperative evaluation of onco-geriatric patients seems valuable and feasible.",duplicate of 4716,,,
