refid,design_f_lab,study,study_l,study_l_w_linked,study_id,arm_id,drug,drug_f,drug_recode,drug_recode_abbr,drug_study,arm_n,arm_proph_meds,none,proph_history,proph_med_pre,proph_med_induct,proph_med_intra,proph_med_postop,proph_med_unspec,dexmed,dexmed_loading,dexmed_maintain,dexmed_maintain_low,dexmed_maintain_up,dexmed_postdose,ketamine,ketamine_dose,ketamine_dose_iv,ket_postdose,melatonin,melatonin_dose,melatonin_days,ramelteon,ramelteon_dose,ramelteon_numberdoses,gabapentin,gabapentin_dose,gabapentin_numberdoses,ulinastatin,ulinastatin_dose,ulinastatin_numberdoses,notes,multiple_kq,drug_kq5,control_desc_kq5,other_spec,interv_desc,control_desc
10,Randomized Clinical Trial,Zhang 2018a,[Zhang 2018a](evidence_tables.html#10),[Zhang 2018a](evidence_tables.html#10),Zhang 2018a-1,1,,,,,,190,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Randomized Clinical Trial,Zhang 2018a,[Zhang 2018a](evidence_tables.html#10),[Zhang 2018a](evidence_tables.html#10),Zhang 2018a-2,2,,,,,,189,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Randomized Clinical Trial,Li 2021a,[Li 2021a](evidence_tables.html#17),[Li 2021a](evidence_tables.html#17),Li 2021a-1,1,,,,,,272,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Randomized Clinical Trial,Li 2021a,[Li 2021a](evidence_tables.html#17),[Li 2021a](evidence_tables.html#17),Li 2021a-2,2,,,,,,272,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Prospective Cohort,Konishi 2018,[Konishi 2018](evidence_tables.html#22),[Konishi 2018](evidence_tables.html#22),Konishi 2018-1,1,,,,,,121,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Prospective Cohort,Konishi 2018,[Konishi 2018](evidence_tables.html#22),[Konishi 2018](evidence_tables.html#22),Konishi 2018-2,2,,,,,,171,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Randomized Clinical Trial,Li 2017,[Li 2017](evidence_tables.html#24),[Li 2017](evidence_tables.html#24),Li 2017-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,143,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9% sodium chloride 2 ml; Saline administered during anesthesia and early postoperative period
24,Randomized Clinical Trial,Li 2017,[Li 2017](evidence_tables.html#24),[Li 2017](evidence_tables.html#24),Li 2017-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,142,kq6_proph_meds,,,,,proph_med_intra,proph_med_postop,,dexmedetomidine,0.6,0.4,,,0.1,,,,,,,,,,,,,,,,,,,,,,"dexmedetomidine hydrochloride 200 μg /2 ml; Study drugs were diluted with normal saline to 50 ml before administration, for dexmedetomidine the final concentration was 4 μg/ml; In the operating room, study drug infusion was
started once the intravenous access was established, firstly at a rate of [0.9 × kg] ml/h (i.e.,
0.6 μg/kg for dexmedetomidine) for 10 minutes, then at a rate of [0.1 × kg] ml/h (i.e.,
0.4 μg x kg-1 x h-1 for dexmedetomidine) until the end of surgery",
69,Randomized Clinical Trial,Huyan 2019,[Huyan 2019](evidence_tables.html#69),[Huyan 2019](evidence_tables.html#69),Huyan 2019-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,173,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Normal saline 50 ml, 20 min before surgery, stopped 30 min before surgery"
69,Randomized Clinical Trial,Huyan 2019,[Huyan 2019](evidence_tables.html#69),[Huyan 2019](evidence_tables.html#69),Huyan 2019-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,173,kq6_proph_meds,,,proph_med_pre,,proph_med_intra,,,dexmedetomidine,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Retrospective Cohort,Chuich 2019,[Chuich 2019](evidence_tables.html#103),[Chuich 2019](evidence_tables.html#103),Chuich 2019-1,1,Other,Control,Propofol,Prop,Dexmedetomidine,209,kq6_no_proph_meds,kq6_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,propofol,,Propofol-based sedation in addition to general anesthesia intraoperatively
103,Retrospective Cohort,Chuich 2019,[Chuich 2019](evidence_tables.html#103),[Chuich 2019](evidence_tables.html#103),Chuich 2019-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,69,kq6_proph_meds,,,,,proph_med_intra,,,dexmedetomidine,,0.193,0.078,0.308,,,,,,,,,,,,,,,,,,,,,,,dexmedetomidine-based sedation in addition to general anesthesia intraoperatively,
118,Retrospective Cohort,Mueller 2020a,[Mueller 2020a](evidence_tables.html#118),[Mueller 2020a](evidence_tables.html#118),Mueller 2020a-1,1,,,,,Dexmedetomidine,82,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Retrospective Cohort,Mueller 2020a,[Mueller 2020a](evidence_tables.html#118),[Mueller 2020a](evidence_tables.html#118),Mueller 2020a-2,2,,,,,Dexmedetomidine,529,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Nonrandomized Trial,Xie 2018,[Xie 2018](evidence_tables.html#120),[Xie 2018](evidence_tables.html#120),Xie 2018-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,70,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 ml saline at induction and infusion
120,Nonrandomized Trial,Xie 2018,[Xie 2018](evidence_tables.html#120),[Xie 2018](evidence_tables.html#120),Xie 2018-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,70,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Retrospective Cohort,Oh 2019,[Oh 2019](evidence_tables.html#132),[Oh 2019](evidence_tables.html#132),Oh 2019-1,1,,,,,Dexmedetomidine,1477,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Retrospective Cohort,Oh 2019,[Oh 2019](evidence_tables.html#132),[Oh 2019](evidence_tables.html#132),Oh 2019-2,2,,,,,Dexmedetomidine,1395,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Before-After/Time Series,Indrakusuma 2015,[Indrakusuma 2015](evidence_tables.html#149),[Indrakusuma 2015](evidence_tables.html#149),Indrakusuma 2015-1,1,,,,,Dexmedetomidine,222,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Before-After/Time Series,Indrakusuma 2015,[Indrakusuma 2015](evidence_tables.html#149),[Indrakusuma 2015](evidence_tables.html#149),Indrakusuma 2015-2,2,,,,,Dexmedetomidine,221,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Randomized Clinical Trial,Qin 2019,[Qin 2019](evidence_tables.html#150),[Qin 2019](evidence_tables.html#150),Qin 2019-1,1,,,,,Dexmedetomidine,52,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Randomized Clinical Trial,Qin 2019,[Qin 2019](evidence_tables.html#150),[Qin 2019](evidence_tables.html#150),Qin 2019-2,2,,,,,Dexmedetomidine,52,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Prospective Cohort,Deiner 2015,[Deiner 2015](evidence_tables.html#155),[Deiner 2015](evidence_tables.html#155),Deiner 2015-1,1,,,,,Dexmedetomidine,34,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Prospective Cohort,Deiner 2015,[Deiner 2015](evidence_tables.html#155),[Deiner 2015](evidence_tables.html#155),Deiner 2015-2,2,,,,,Dexmedetomidine,43,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Randomized Clinical Trial,Xu 2020,[Xu 2020](evidence_tables.html#158),[Xu 2020](evidence_tables.html#158),Xu 2020-1,1,,,,,Dexmedetomidine,80,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Randomized Clinical Trial,Xu 2020,[Xu 2020](evidence_tables.html#158),[Xu 2020](evidence_tables.html#158),Xu 2020-2,2,,,,,Dexmedetomidine,80,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Randomized Clinical Trial,Xu 2020,[Xu 2020](evidence_tables.html#158),[Xu 2020](evidence_tables.html#158),Xu 2020-3,3,,,,,Dexmedetomidine,80,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Randomized Clinical Trial,Hudetz 2009a,[Hudetz 2009a](evidence_tables.html#181),[Hudetz 2009a](evidence_tables.html#181),Hudetz 2009a-1,1,None,Control,None,None,Ketamine,26,kq6_no_proph_meds,kq6_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nonsurgical controls
181,Randomized Clinical Trial,Hudetz 2009a,[Hudetz 2009a](evidence_tables.html#181),[Hudetz 2009a](evidence_tables.html#181),Hudetz 2009a-2,2,Placebo,Control,Placebo,Plac,Ketamine,26,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV bolus saline during anesthetic induction
181,Randomized Clinical Trial,Hudetz 2009a,[Hudetz 2009a](evidence_tables.html#181),[Hudetz 2009a](evidence_tables.html#181),Hudetz 2009a-3,3,Ketamine,Ketamine,Ketamine,Ket,Ketamine,26,kq6_proph_meds,,,,proph_med_induct,,,,,,,,,,ketamine,0.5,,,,,,,,,,,,,,,,,,,,IV bolus ketamine (0.5 mg/kg) during anesthetic induction,
208,Randomized Clinical Trial,Harsten 2013,[Harsten 2013](evidence_tables.html#208),[Harsten 2013](evidence_tables.html#208),Harsten 2013-1,1,,,,,Ketamine,60,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Randomized Clinical Trial,Harsten 2013,[Harsten 2013](evidence_tables.html#208),[Harsten 2013](evidence_tables.html#208),Harsten 2013-2,2,,,,,Ketamine,60,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Retrospective Cohort,Jakobsen 2007,[Jakobsen 2007](evidence_tables.html#234),[Jakobsen 2007](evidence_tables.html#234),Jakobsen 2007-1,1,,,,,Ketamine,5325,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Retrospective Cohort,Jakobsen 2007,[Jakobsen 2007](evidence_tables.html#234),[Jakobsen 2007](evidence_tables.html#234),Jakobsen 2007-2,2,,,,,Ketamine,5210,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Randomized Clinical Trial,Carron 2007,[Carron 2007](evidence_tables.html#239),[Carron 2007](evidence_tables.html#239),Carron 2007-1,1,,,,,Ketamine,20,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
