refid,arm_id,agents_up,drug_f,other_spec,control_desc
742,1,Benzodiazepines,Propofol,,
742,2,Benzodiazepines,Other,propofol,combined spinal-epidural anesthesia with light sedation using propofol
742,3,Benzodiazepines,Midazolam,,
1117,1,Benzodiazepines,Placebo,,normal saline
1117,2,Benzodiazepines,Dexmedetomidine,,
1117,3,Benzodiazepines,Midazolam,,
1505,1,Anticholinergics,Placebo,,normal saline
1505,2,Anticholinergics,Penehyclidine,Penehyclidine,
1625,1,Benzodiazepines,Midazolam,,
1625,2,Benzodiazepines,Dexmedetomidine,,
1937,1,Antipsychotics,Placebo,,normal saline (0.9%) once before induction
1937,2,Antipsychotics,Haloperidol,,
1937,3,Antipsychotics,Ketamine,,
2778,1,Corticosteroids,Placebo,,placebo (0.9% NaCl) administered in one IV bolus dose 10 h prior to surgery
2778,2,Corticosteroids,Dexamethasone,,
3250,1,Corticosteroids,Placebo,,intravenous 250 mg placebo at anesthetic induction and 250 mg placebo at initiation of cardiopulmonary bypass
3250,2,Corticosteroids,Methylprednisolone,,
4824,1,Antipsychotics,Placebo,,oral placebo every 12 h after diagnosis of delirium
4824,2,Antipsychotics,Risperdone,risperidone,
5164,1,Benzodiazepines,None,,
5164,3,Benzodiazepines,Melatonin,,
5164,2,Benzodiazepines,Midazolam,,
5765,1,NSAIDs,Placebo,,capsules filled with amylum every 12 h for 7 days prior to surgery
5765,2,NSAIDs,Celecoxib,,
5809,1,NSAIDs,None,,no treatment
5809,2,NSAIDs,Flurbiprofen,,
5809,3,NSAIDs,Flurbiprofen,,
7098,1,Antipsychotics,Placebo,,Oral pill looks like olanzapine immediately before surgery and immediately after
7098,2,Antipsychotics,Olanzapine,,
7309,1,Antipsychotics,None,,"no prophylactic haloperidol days 0-5; if delirium developed days 1-10, conventional treatments provided"
7309,2,Antipsychotics,Haloperidol,,
7686,1,Corticosteroids,Placebo,,IV Saline 20mL 10 min before surgery
7686,2,Corticosteroids,Methylprednisolone,,
7758,1,Corticosteroids,Placebo,,0.9% NaCl 10h before surgery
7758,2,Corticosteroids,Dexamethasone,,
8574,1,Antipsychotics,Placebo,,oral placebo 3 times daily from admission day until 3 days after surgery
8574,2,Antipsychotics,Haloperidol,,
8864,1,Antipsychotics,None,,no treatment administered
8864,2,Antipsychotics,Haloperidol,,
9157,1,Benzodiazepines,Propofol,Propofol,1.0-1.5 mg/kg propofol
9157,2,Benzodiazepines,Remimazolam,,
9157,3,Benzodiazepines,Remimazolam,,
9196,1,Antipsychotics,Placebo,,saline IV starting within 1 h arrival in ICU and continued for 12 h
9196,2,Antipsychotics,Haloperidol,,
9620,1,Benzodiazepines,None,,
9620,2,Benzodiazepines,NA,flunitrazepam,
10036,1,Corticosteroids,Placebo,,1mg/kg IV injection of placebo at the time of induction
10036,2,Corticosteroids,Dexamethasone,,
10075,1,Corticosteroids,Placebo,,single IV bolus saline 0.9%
10075,2,Corticosteroids,Dexamethasone,,
10515,1,Corticosteroids,Placebo,,intravenous 250 mg placebo at anesthetic induction and 250 mg placebo at initiation of cardiopulmonary bypass
10515,2,Corticosteroids,Methylprednisolone,,
13568,1,Benzodiazepines,Placebo,,intravenous injection of saline (same amount as the DEX in group A)
13568,2,Benzodiazepines,Midazolam,,
13568,3,Benzodiazepines,Dexmedetomidine,,
13579,1,Benzodiazepines,Midazolam,,
13579,2,Benzodiazepines,Dexmedetomidine,,
13731,1,Benzodiazepines,Midazolam,,
13731,2,Benzodiazepines,Dexmedetomidine,,
13888,1,Corticosteroids,None,,levobupivacaine given epidurally
13888,2,Corticosteroids,Dexamethasone,,
14006,1,Corticosteroids,Dexamethasone,,
14006,2,Corticosteroids,Placebo,,Placebo  (normal saline 0.9%)
16533,1,Corticosteroids,Placebo,,administered as a single intervention injection after induction but before surgery
16533,2,Corticosteroids,Dexamethasone,,
16607,1,Antipsychotics,Placebo,,placebo sublingually upon (antiseptic strip of Listerine) in ICU
16607,2,Antipsychotics,Risperdone,risperidone,
9464,1,Corticosteroids,Methylprednisolone,,
9464,2,Corticosteroids,Methylprednisolone,,
10090,1,H2 blockers,Omeprazole,omeprazole,20 mg/day omeprazole day of operation and 2 20 mg injections/day on days 1-3 postop
10090,2,H2 blockers,Famotidine,,
1332,1,Benzodiazepines,None,,
1332,2,Benzodiazepines,Midazolam,,
2338,1,Antipsychotics,Any antipsychotic,,
7722,1,Multiple,Any benzodiazepine,,
246,1,Multiple,None,,
246,2,Multiple,Various,,
3727,1,Multiple,Ketorolac,,
3727,2,Multiple,Any benzodiazepine,,
3727,3,Multiple,Zolpidem,,
9279,1,Benzodiazepines,None,,no administration of benzodiazepines during hospital course
9279,2,Benzodiazepines,Any benzodiazepine,,
9977,1,Corticosteroids,Methylprednisolone,,
9977,2,Corticosteroids,Methylprednisolone,,
