"Refid","Author","Title","User","Level","algorithm_domain1","assessor_domain1","algorithm_domain2a","algorithm_domain2b","algorithm_domain2c","assessor_domain2","algorithm_domain3","assessor_domain3","algorithm_domain4","assessor_domain4","algorithm_domain5","assessor_domain5","algorithm_overall","assessor_overall"
10,"Zhang, Y., Shan, G. J., Zhang, Y. X., Cao, S. J., Zhu, S. N., Li, H. J., Ma, D., Wang, D. X.","Propofol compared with sevoflurane general anaesthesia is associated with decreased delayed neurocognitive recovery in older adults",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
10,"Zhang, Y., Shan, G. J., Zhang, Y. X., Cao, S. J., Zhu, S. N., Li, H. J., Ma, D., Wang, D. X.","Propofol compared with sevoflurane general anaesthesia is associated with decreased delayed neurocognitive recovery in older adults",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
17,"Li, Y., Chen, D., Wang, H., Wang, Z., Song, F., Li, H., Ling, L., Shen, Z., Hu, C., Peng, J., Li, W., Xing, W., Pan, J., Liang, H., Zhou, Q., Cai, J., He, Z., Peng, S., Zeng, W., Zuo, Z.","Intravenous versus Volatile Anesthetic Effects on Postoperative Cognition in Elderly Patients Undergoing Laparoscopic Abdominal Surgery",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
17,"Li, Y., Chen, D., Wang, H., Wang, Z., Song, F., Li, H., Ling, L., Shen, Z., Hu, C., Peng, J., Li, W., Xing, W., Pan, J., Liang, H., Zhou, Q., Cai, J., He, Z., Peng, S., Zeng, W., Zuo, Z.","Intravenous versus Volatile Anesthetic Effects on Postoperative Cognition in Elderly Patients Undergoing Laparoscopic Abdominal Surgery",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
24,"Li, X., Yang, J., Nie, X. L., Zhang, Y., Li, X. Y., Li, L. H., Wang, D. X., Ma, D.","Impact of dexmedetomidine on the incidence of delirium in elderly patients after cardiac surgery: A randomized controlled trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
24,"Li, X., Yang, J., Nie, X. L., Zhang, Y., Li, X. Y., Li, L. H., Wang, D. X., Ma, D.","Impact of dexmedetomidine on the incidence of delirium in elderly patients after cardiac surgery: A randomized controlled trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
69,"Huyan, T., Hu, X., Peng, H., Zhu, Z., Li, Q., Zhang, W.","Perioperative Dexmedetomidine Reduces Delirium in Elderly Patients after Lung Cancer Surgery",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns","Some concerns","Some concerns"
69,"Huyan, T., Hu, X., Peng, H., Zhu, Z., Li, Q., Zhang, W.","Perioperative Dexmedetomidine Reduces Delirium in Elderly Patients after Lung Cancer Surgery",Stephanie_Ramirez,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns","Some concerns","Some concerns"
150,"Qin, Y., Ni, J., Kang, L., Zhong, Z., Wang, L., Yin, S.","Sevoflurane Effect on Cognitive Function and the Expression of Oxidative Stress Response Proteins in Elderly Patients undergoing Radical Surgery for Lung Cancer",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
150,"Qin, Y., Ni, J., Kang, L., Zhong, Z., Wang, L., Yin, S.","Sevoflurane Effect on Cognitive Function and the Expression of Oxidative Stress Response Proteins in Elderly Patients undergoing Radical Surgery for Lung Cancer",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
158,"Xu, C. S., Qu, X. D., Qu, Z. J., Wang, G., Wang, H. J.","Effect of subarachnoid anesthesia combined with propofol target-controlled infusion on blood loss and transfusion for posterior total hip arthroplasty in elderly patients",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
158,"Xu, C. S., Qu, X. D., Qu, Z. J., Wang, G., Wang, H. J.","Effect of subarachnoid anesthesia combined with propofol target-controlled infusion on blood loss and transfusion for posterior total hip arthroplasty in elderly patients",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
181,"Hudetz, J. A., Iqbal, Z., Gandhi, S. D., Patterson, K. M., Byrne, A. J., Hudetz, A. G., Pagel, P. S., Warltier, D. C.","Ketamine attenuates post-operative cognitive dysfunction after cardiac surgery",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
181,"Hudetz, J. A., Iqbal, Z., Gandhi, S. D., Patterson, K. M., Byrne, A. J., Hudetz, A. G., Pagel, P. S., Warltier, D. C.","Ketamine attenuates post-operative cognitive dysfunction after cardiac surgery",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
208,"Harsten, A., Kehlet, H., Toksvig-Larsen, S.","Recovery after total intravenous general anaesthesia or spinal anaesthesia for total knee arthroplasty: a randomized trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
208,"Harsten, A., Kehlet, H., Toksvig-Larsen, S.","Recovery after total intravenous general anaesthesia or spinal anaesthesia for total knee arthroplasty: a randomized trial",Rohan_Rajagopal,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
239,"Carron, M., Freo, U., Innocente, F., Veronese, S., Pilati, P., Jevtovic-Todorovic, V., Ori, C.","Recovery profiles of general anesthesia and spinal anesthesia for chemotherapeutic perfusion with circulatory block (stop-flow perfusion)",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,High,"Some concerns",Low,Low,High,"Some concerns"
239,"Carron, M., Freo, U., Innocente, F., Veronese, S., Pilati, P., Jevtovic-Todorovic, V., Ori, C.","Recovery profiles of general anesthesia and spinal anesthesia for chemotherapeutic perfusion with circulatory block (stop-flow perfusion)",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns",Low,Low,"Some concerns","Some concerns"
241,"Mazul-Sunko, B., Hromatko, I., Tadinac, M., Sekulić, A., Ivanec, Z., Gvozdenović, A., Tomasević, B., Gavranović, Z., Mladić-Batinica, I., Cima, A., Vrkić, N., Lovricević, I.","Subclinical neurocognitive dysfunction after carotid endarterectomy-the impact of shunting",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
241,"Mazul-Sunko, B., Hromatko, I., Tadinac, M., Sekulić, A., Ivanec, Z., Gvozdenović, A., Tomasević, B., Gavranović, Z., Mladić-Batinica, I., Cima, A., Vrkić, N., Lovricević, I.","Subclinical neurocognitive dysfunction after carotid endarterectomy-the impact of shunting",Lexi_Dyer,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
