n,comparison,subgroup,outcome,design,n_studies,n_pts,refids,rob,rob_foot,consist,consist_foot,direct,direct_foot,prec,prec_foot,other,other_foot,summary,grade,acc,out_import,result_links,,date
1.11,expanded_standard,,Delirium incidence,RCT,7,1646,"741, 760, 1201, 5516, 16605, 16628, 16739",serious,Four of 7 have some concerns (1 missing how delirium is measured).,serious,Wide prediction interval (0.24-1.70).,not serious,,not serious,,not serious, ,"Pooled estimate from 7 RCTs suggested lower risk of postoperative delirium for expanded evaluation versus standard evaluation. <br> RR 0.64  (95% CI, 0.40-1.03; *I*<sup> 2</sup> = 67%) ",low,C-LD,critical,"Table: [11  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#delirium-incidence)

Figure: [1  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#pooled)",,
1.12,expanded_standard,,Delirium incidence,Non-randomized,9,2300,"149, 1189, 2873, 11264, 15542, 16539, 16544, 16623, 17082",serious,All have potential confounding; 1 did not describe intervention details; 1 had deviations from intervention.,not serious, ,not serious,,not serious,,not serious,Results consistent with potentially strong effect. ,"Pooled estimate from 9 non-randomized studies was consistent with lower risk of postoperative delirium for expanded evaluation compared with standard evaluation. <br> RR 0.63  (95% CI, 0.46-0.87; *I*<sup> 2</sup> = 44%) ",low,C-LD,critical,"Table: [11  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#delirium-incidence)

Figure: [2  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#pooled)",,
1.21,expanded_standard,,Cognitive dysfunction ≤ 30 days,RCT,1,281,5516,not serious,,very serious,"Single study, cannot assess consistency.",not serious,,serious,Few events reported.,not serious,,"One RCT reported lower cognitive dysfunction <30 days for expanded evaluation compared with standard evaluation, p=0.009.",very low,C-LD,critical,,,
1.22,expanded_standard,,Cognitive dysfunction ≤ 30 days,Before/after,1,180,16539,serious,Potenial confounding; performed matching.,very serious,"Single study, cannot assess consistency.",not serious,,serious, ,not serious,,"One before/after study did not detect a difference in cognitive dysfunction <30 days for expanded evaluation compared with standard evaluation, p=0.316.",very low,C-LD,critical,,,
1.23,expanded_standard,,Cognitive dysfunction > 30 days,no studies,,,,,,,,,,,,,,,,,critical,,,
1.31,expanded_standard,,"Cardiac, general",RCT,3,765,"760, 1201, 16605",not serious, ,serious,Substantial heterogeneity (I^2^ = 79%).,not serious,,serious,Confidence interval for pooled estimate compatible with benefit or harm.,not serious,,"Pooled estimate from 3 RCTs was inconclusive with respect to the risk of cardiac complications for expanded evaluation compared with standard evaluation. <br> RR 0.78  (95% CI, 0.34-1.77; *I*<sup> 2</sup> = 79%) ",low,C-LD,critical,"Table: [12  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#complications)

Figure: [3  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#cardiac-composite)",,
1.32,expanded_standard,,"Cardiac, general",Before/after,5,1388,"149, 6017, 16544, 16591, 16846",serious,All have potential confounding; 3 performed matching.,serious,Prediction interval (0.44-1.49),not serious,,serious,Confidence interval for pooled estimate compatible with benefit or harm.,not serious,,"Pooled estimate from 5 non-randomized studies was inconclusive with respect to the risk of cardiac complications for expanded evaluation compared with standard evaluation. <br> RR 0.81  (95% CI, 0.61-1.07; *I*<sup> 2</sup> = 33%) ",very low,C-LD,critical,"Table: [12  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#complications)

Figure: [4  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#cardiac-composite)",,
1.34,expanded_standard,,Myocardial infarction,RCT,1,319,16628,not serious,,very serious,"Single study, cannot assess consistency.",not serious,,serious,Confidence interval compatible with wide range of effects.,not serious,,"One RCT did not detect a difference in myocardial infarction for expanded preoperative evaluation compared with standard. <br> RD -0.6%  (95% CI, -2.3 to 1.1)",very low,C-LD,critical,"Table: [12  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#complications)
",,
1.35,expanded_standard,,Myocardial infarction,Before/after,4,1206,"1189, 11264, 16544, 16591",very serious,All have potential confounding; 1 performed matching.,serious,Wide prediction interval (0.08-4.29),not serious,,serious,Confidence interval for pooled estimate compatible with benefit or harm.,not serious,,"Pooled estimate from 4 non-randomized studies was inconclusive with respect to the risk of myocardial infarction with expanded evaluation compared with standard evaluation. <br> RR 0.60  (95% CI, 0.24-1.47; *I*<sup> 2</sup> = 0%) ",very low,C-LD,critical,"Table: [12  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#complications)

Figure: [5  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#myocardial-infarction)",,
1.41,expanded_standard,,Hospital & 30-day mortality,RCT,6,1542,"555, 760, 1201, 5516, 9588, 16628",not serious,,very serious,Wide prediction interval (0.04-21.03),not serious, ,serious,Confidence interval for pooled estimate compatible with benefit or harm.,not serious,,"Pooled estimate from 6 RCTs was inconclusive with respect to the risk of 30-day mortality for expanded evaluation compared with standard evaluation. <br> RR 0.89  (95% CI, 0.21–3.88; *I*<sup> 2</sup> = 56%) ",very low,C-LD,limited,"Table: [16 <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#mortality)

Figure: [14  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#pooled-4)",,
1.42,expanded_standard,,Hospital & 30-day mortality,Non-randomized,12,12281,"149, 1189, 1313, 2108, 2736, 6017, 11264, 12826, 15542, 16544, 16591, 16846",serious,All have potential confounding; 8 performed matching.,not serious, Prediction interval (0.36-1.30),not serious, ,not serious,,not serious,,"Pooled estimate from 12 non-randomized studies was consistent with lower in-hospital and 30-day mortality for expanded evaluation compared with standard evaluation. <br> RR 0.68  (95% CI, 0.51-0.93; *I*<sup> 2</sup> = 5%) ",low,C-LD,limited,"Table: [17  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#mortality)

Figure: [15  <i class=""bi bi-box-arrow-in-up-right""></i>](kq1.html#pooled-4)",,
